provider_name,status,risk_tier,primary_asn,additional_asns,known_prefixes,country_registration,country_operations,corporate_entity,aliases,parent_entity,upstream_providers,downstream_of,sanctions_designations,key_personnel,associated_threat_actors,associated_malware,operational_patterns,identification_signals,first_observed,last_updated,rf_threat_density_score,sources,notes,description
CTG Server Limited,flagged,T1-Confirmed BPH,AS152194,,,Hong Kong,Philippines/China,CTG Server Limited,CTGSERVERLIMITED-AS-AP; ctgserver.com,,,,Not designated (OFAC's May 29 2025 action named only Funnull Technology Inc. and Liu Lizhi); hosting ASN used by the designated FUNNULL,,Triad Nexus,Pig-butchering infrastructure; brand impersonation; Cobalt Strike C2 (2026),Infrastructure laundering; Geofencing; Rotating CNAMEs,Spamhaus ASN-DROP (AS152194 under ctgserver.com); Infrastructure laundering; Geofencing; Hosts FUNNULL points of presence,,2026-09-25,,SILENTPUSH-FUNNULL; OFAC-FUNNULL; INFOBLOX-DCLOUD; SPAMHAUS-ASNDROP-2026; GREYNOISE-REACT2SHELL-2026; C2INTELFEEDS,"Hong Kong-registered ASN (119 IPv4 prefixes, 192,768 addresses) that hosted FUNNULL CDN points of presence in Silent Push's Oct 2024 mapping (Silent Push labels it 'China Telecom Global'); a hosting relationship, not ownership - CTG is not FUNNULL's parent and was not designated. Infoblox (June 2026): about 6% of visible DCloud Uni-App investment-scam domains use BPH providers such as CTG Server Limited; the campaign spans 236,493 distinct scam SLDs since mid-2022. Spamhaus ASN-DROP lists AS152194 (ctgserver.com; not in the Feb 2024 snapshot). Current activity: Cobalt Strike C2s on CTG addresses (Aug-Sep 2026, C2IntelFeeds) and AS152194 among GreyNoise's React2Shell exploitation sources. Kept T1 (multiple independent vendors plus Spamhaus). Corrections 2026-09-25: the OFAC 'via FUNNULL designation' entry was removed; '175+ rotating CNAMEs' conflicts with the FBI's 548 FUNNULL CNAMEs; the '19 of the top 20' figure is unverified.",FUNNULL/Triad Nexus backbone ASN; Hong Kong-registered; hosts the bulk of BPH-hosted DCloud scam SLDs.
WAIcore Hosting Ltd,flagged,T2-High Risk,AS213887,"AS210281 (historical; reassigned to EcoConnect LLC [RU] - do not block); AS219262 (WAICORE-RUSSIA; registered, no routes)",,United Kingdom (registered),Russia-linked,WAIcore Ltd,WAIcore Hosting LTD,,aurologic GmbH (AS30823); RoyaleHosting BV; iFog GmbH; Netshield LTD,aurologic GmbH,,,Doppelganger disinformation,,aurologic downstream; Doppelganger infrastructure,"Historical Spamhaus ASN-DROP listings (AS202973, AS206425, AS210281 under waicore.com, Feb 2024); Serial ASN rotation; Russia-linked",2024-02,2026-09-25,,RF-AUROLOGIC; QURIUM-DOPPELGANGER; SPAMHAUS-ASNDROP-2026; REGISTRY-SNAPSHOT-2026-09,"UK-registered operator (AS213887 announces 29 IPv4 and 7 IPv6 prefixes; the earlier '68 IPv4 / 11 IPv6' is outdated). WAIcore activity predates the AS213887 registration: Spamhaus ASN-DROP listed three earlier WAIcore ASNs (AS202973, AS206425, AS210281; domain waicore.com) by Feb 2024; all three have since been re-issued to unrelated networks (do not block them). A new registration, AS219262 'WAICORE-RUSSIA', is held by a Russian individual and has no routes yet. Qurium names WAIcore within Doppelganger infrastructure behind aurologic; the RF naming is unverified. Not on the current ASN-DROP.",
First Server Limited,flagged,T2-High Risk,AS204997,AS50113; AS205090; AS200740; AS204339; AS204154; AS35196; AS214602,,United Kingdom,Russia-linked,First Server Limited,,,,,,,Ransomware operators leasing ISPsystem VMmanager templates (LockBit; Qilin; Conti; BlackCat/ALPHV; WantToCry),LockBit; Conti; BlackCat; Qilin; Ursnif; RedLine; NetSupport; PureRAT; Lampion; Lumma; WantToCry,VMmanager ransomware VM supply operation,"Shared VMmanager template hostnames; GreyNoise React2Shell exploitation sources (AS200740, AS205090); Not on Spamhaus ASN-DROP",,2026-09-25,,SOPHOS-VMMANAGER; BLEEPINGCOMPUTER-BPH; TROLLEYE-FIRSTSERVER; GREYNOISE-REACT2SHELL-2026; REGISTRY-SNAPSHOT-2026-09,"UK-registered network with at least eight ASNs registered to FIRST SERVER LIMITED (AS204997, AS50113, AS205090, AS200740, AS204339, AS204154, AS35196, AS214602; plus a Spanish affiliate on AS199685). Linked to the Sophos (Feb 2026) research on ISPsystem VMmanager default Windows templates, whose reused hostnames appear across LockBit, Qilin, Conti, BlackCat, Ursnif, NetSupport, PureRAT, Lampion, Lumma and RedLine infrastructure - associations of the template ecosystem, not specifically of First Server; the Sophos naming of First Server could not be re-verified. Former Hypercore prefixes now originate from AS205090 and AS200740 (lead only). Do not confuse AS204997's handle FIRSTBYTE-AS with the unrelated Iranian AS210703 'FIRSTBYTE-AS' on ASN-DROP. TrickBot was removed (not in the Sophos summary).",
Silent Connection Ltd,dissolved,T3-Suspected,AS215240 (historical; re-registered to Microdex UG [DE]; no routes - do not block),,,United Kingdom,,Silent Connection Ltd,,,,,,,,"XWorm; AsyncRAT (Blue Stylthon WsgiDAV servers, Nov-Dec 2024)",Dissolved-but-live pattern,RF 2025 top-10 density (#9); ASN since re-registered; network dark,,2026-09-25,RF 2025 top-10 (#9),EXCEDO-ASN; RF-TAE-2026; ORANGE-CD-BLUESTYLTHON; REGISTRY-SNAPSHOT-2026-09,"UK company reported compulsorily dissolved at Companies House in January 2025 (not re-verified). RF ranked Silent Connection #9 in its 2025 Threat Density top 10; Orange Cyberdefense placed Blue Stylthon WsgiDAV servers delivering XWorm/AsyncRAT (Nov-Dec 2024) in AS215240. As of 2026-09-25 the ASN is registered to Microdex UG (DE) under a new handle and announces nothing, so the earlier 'network remains live' note is outdated. Another German UG holds a second ASN under the same MICRODEX-AS handle - a possible re-homing by the same operator (unproven).",
Dolphon 1337 Ltd,dissolved,T5-Watch List,AS215208 (historical; reassigned to PT Citra Celebas Multimedia [ID] - do not block),,,United Kingdom,,Dolphon 1337 Ltd,Dolphin 1337 Limited,,,,,,,,Dissolved shell; ASN recycled,ASN recycled to an unrelated live network; single-source evidence,2024-03-28,2026-09-25,,EXCEDO-ASN; REGISTRY-SNAPSHOT-2026-09,"UK shell reported compulsorily dissolved in Jan 2025 (not re-verified); AS215208 (reported registered 2024-03-28) is now held by PT Citra Celebas Multimedia (Indonesia) and announces three live prefixes - this is ASN recycling, not a dissolved shell still operating, so the ASN must not be blocked. The only source is Excedo. RF's 2025 top-10 #10 is 'DolphinHost Limited' (AS214717/AS207184, dolphinhost.net), a different entity; the repo previously conflated the two. The '1337' naming link to ELITETEAM is speculative. Tier lowered T3 -> T5 on 2026-09-25 (historically associated; currently quiescent; single source).",
CDNCloud,active,T5-Watch List,,,,Hong Kong,China (Alibaba-routed),,cdnclouds.net,,Alibaba Cloud,,,,,,Low-footprint CDN brand,Insufficient data,2015-01,2026-09-25,,,"Low-footprint brand claimed to sit on Hong Kong Alibaba infrastructure. The 2026-09-25 audit found no ASN, registry record, Spamhaus ASN-DROP listing or CTI report for CDNCloud or cdnclouds.net, and it is absent from the Silent Push 2025 red-flag table that appears to be the source of the other T5 rows. It does not meet the T5 minimum ('credible source with structural indicators'); retained only pending a source and a candidate for removal at the next review.",
NECHAEVDS,suspected,T3-Suspected,AS213194 (NECHAEVDS-AS; 193.37.69.0/24),,193.37.69.0/24,Russia (individual registrant),Russia,,,,,,,,,,Zservers successor hop network,"Association with sanctioned entity (Zservers prefix recipient); 100% DGA domains and TutaMail abuse contact (Silent Push, relayed)",,2026-09-25,,INTRINSEC-UAC-2025; MALTRAIL-WORST-ASNS; REGISTRY-SNAPSHOT-2026-09,"AS213194, registered to a Russian individual (the AS-name derives from the registrant's surname), announces only 193.37.69.0/24. It is the same ASN the Zservers row lists as a post-sanction hop: Intrinsec (March 2025) assessed with high confidence that Zservers prefixes moved to AS213194, AS61336 and AS213010. A relayed Silent Push 2025 table flags it for 100% DGA domains and a TutaMail abuse contact. Tier raised T5 -> T3 on 2026-09-25; merging into the Zservers row is an alternative. Not on Spamhaus ASN-DROP.",
NETINNOVATIONLLC,flagged,T3-Suspected,AS62864 (NILAS; ARIN),"AS23865; AS34985; AS149286 (APNIC; registered, no routes)",,United States (registry); Japan per Spamhaus,Mixed APNIC/ARIN/AFRINIC space (no evidence of Eastern Europe),net innovation llc,netinnovation.net,,,,,,,,Multi-registry ASN set; DGA hosting,"Spamhaus ASN-DROP (all four ASNs under netinnovation.net); Gmail abuse contact; DGA domains; 18-day abuse response (Silent Push, relayed)",,2026-09-25,,SPAMHAUS-ASNDROP-2026; REGISTRY-SNAPSHOT-2026-09,"Four ASNs registered to 'net innovation llc' - AS62864 (ARIN; 14 prefixes including DROP-listed 164.155.0.0/16 and 168.80.0.0/15 space), AS34985 (7), AS23865 (5) and AS149286 (none) - all on Spamhaus ASN-DROP under netinnovation.net (cc JP). A relayed Silent Push 2025 table flags AS34985 for a Gmail abuse contact, DGA usage and an 18-day abuse response. The earlier 'no public CTI designation' note was wrong. Raised T5 -> T3 (status flagged) on 2026-09-25; the ASN-DROP escalation rule implies T2 once a second independent B/C source is read directly.",
Tiger Network Limited (Tiger Net),flagged,T3-Suspected,AS48589 (TIGER),AS211121 (INDIA),43.255.16.0/22; 103.239.0.0/22; 112.143.0.0/20; 112.143.30.0/23; 124.68.32.0/19 (AS48589),United Kingdom (registry),"Asian address space; operator reportedly Ukraine-linked (Silent Push, relayed)",Tiger Network Limited,Tiger Net; imtigernet,,,,,,,,Asian address space under a UK registrant,"Spamhaus ASN-DROP (AS48589; AS211121 under imtigernet); Gmail abuse contact; DGA domains (Silent Push, relayed)",,2026-09-25,,SPAMHAUS-ASNDROP-2026; REGISTRY-SNAPSHOT-2026-09,"Renamed from 'Tiger Net (SOW-A)' on 2026-09-25. Tiger Network Limited (GB) holds AS48589 (5 prefixes, 14,848 addresses of Asian space) and AS211121 (4 prefixes); both are on Spamhaus ASN-DROP (imtigernet) and their prefixes overlap Spamhaus DROP. A relayed Silent Push 2025 table lists 'AS48589 SOW-A-AS (Tiger Net) - Ukraine, Gmail, DGA'. No current 'SOW-A' handle exists; the only registry match, AS43613 'SOWA' (LLC BIGNET UKRAINE), is a separate ASN-DROP entry, so the relay may have merged two records. Raised T5 -> T3 (status flagged); T2 pending a second independent B/C source.",
HOSTYPE,active,T5-Watch List,AS49217 (registered; no routes),,,United States (Wyoming LLC per Silent Push; registry cc US),Turkey per Spamhaus,HOSTYPE LLC,hostype.com,,,,,,,,Wyoming shell; dormant,"Historical Spamhaus ASN-DROP listing (Feb 2024 and Dec 2025 snapshots; delisted); Gmail abuse contact; DGA domains; 30-day abuse response (Silent Push, relayed)",,2026-09-25,,SPAMHAUS-ASNDROP-2026; REGISTRY-SNAPSHOT-2026-09,"AS49217 is registered to HOSTYPE LLC (registry cc US; Spamhaus cc TR; a relayed Silent Push 2025 table calls it a Wyoming shell with a Gmail abuse contact, DGA usage and a 30-day abuse response). It was on Spamhaus ASN-DROP in the Feb 2024 and Dec 2025 snapshots, has since been delisted, and announces nothing. Fits T5's 'historically associated with abuse, currently quiescent'; watch for re-announcement.",
StarCloud Global (Triad Nexus),flagged,T3-Suspected,AS140224 (historical; registry now 'Nebula Global LLC' [US]; no routes),AS149040 (STARCLOUD GLOBAL PTE. LTD.; no routes),,Singapore (PTE. LTD.); US (Colorado) registrant address per Silent Push,,StarCloud Global Pte. Ltd.,Triad Nexus-affiliated brand,,,,,,Triad Nexus; Silver Fox,Triad Nexus scam infrastructure; Silver Fox phishing domains; Cobalt Strike C2,Triad Nexus CDN front brand,"Phishing-ASN ranking (#13); Triad Nexus infrastructure (Silent Push, relayed); ESET Silver Fox hosting",,2026-09-25,,SILENTPUSH-FUNNULL; ESET-SILVERFOX-IOC; C2INTELFEEDS; REGISTRY-SNAPSHOT-2026-09,"Singapore-registered hosting brand. A relayed Silent Push 2025 table lists AS140224 'STARCLOUD GLOBAL SG' as Triad Nexus infrastructure with a residential Colorado address and a 4-day abuse response; a phishing-ASN ranking put AS140224 at #13 (237,056 routed IPv4; 3,032 phishing attacks). ESET lists Silver Fox domains on 149.104.24.24 with hosting provider 'STARCLOUD GLOBAL PTE. LTD.' (first seen 2026-03-10), and a Cobalt Strike C2 on 154.38.114.115 was recorded under the same provider (Sept 2026); both IPs are now routed by other HK ASNs. AS140224 now shows as 'Nebula Global LLC' (US) and AS149040 announces nothing. CORRECTION 2026-09-25: StarCloud is NOT an OFAC designee - the earlier 'OFAC May 29 2025 (via FUNNULL lineage)' entry was removed (OFAC named only Funnull Technology Inc. and Liu Lizhi).",
DDoS-Guard,active,T5-Watch List,AS57724 (DDOS-GUARD),AS49612 (COGNITIVE-CLOUD-NET handle; 1 prefix),,Russia,Russia,DDoS-Guard LTD,,,,,,,,,Dual-use DDoS mitigation + hosting,Dual-use; Historical controversial customers; Russian ecosystem,,2026-09-25,,REGISTRY-SNAPSHOT-2026-09,"Dual-use Russian DDoS mitigation and hosting provider. Main network is AS57724 (21 IPv4 prefixes); AS49612 now announces a single /24 under the handle COGNITIVE-CLOUD-NET; a further 'DDoS-Guard Corp' ASN (AS262254) is dark. Historically an upstream of ELITETEAM (as of Sept 2022, per Team Cymru). Not on Spamhaus ASN-DROP. Unverified in this audit: the Parler/8chan hosting history. Not classified BPH, but persistently present in the Russian cybercrime ecosystem.",
1GSERVERS LLC,active,T5-Watch List,AS14315,,,United States,United States,1GSERVERS LLC,,,,,,,,Lumma,Small US operator appearing alongside BPH entities,Single source; Limited indicators,,2026-09-25,,INTEL-INSIGHTS-QWINS; REGISTRY-SNAPSHOT-2026-09,"Small US-registered operator (AS14315; 51 IPv4 prefixes; ipverse role 'midsize transit') appearing alongside Proton66, Railnet and Femo IT in a Lumma malware hunt (single source; the blog could not be re-read). Not on Spamhaus ASN-DROP.",
CrazyRDP,seized,T1-Confirmed BPH,AS394711 (historical; Limenet; reassigned to KorGrid LLC [US] - do not block),AS211252 (historical; Delis LLC; reassigned to Marushin K.K. [JP] - do not block),,United States (registry country of both ASNs); servers in the Netherlands,Netherlands,Limenet LLC,Delis LLC; CrazyRDP; crazyrdp.com,,"Serverion / Des Capital B.V. (colocation; community-sourced, weak)",,Dutch police seizure Nov 12 2025 (announced Nov 14 2025; ~250 physical servers in The Hague and Zoetermeer) - police did not name the service and said the case is not connected to Operation Endgame,,80+ LE investigations; ransomware; CSAM distribution,Rhadamanthys; VenomRAT; Elysium botnet,No-KYC no-logs; RDP/VPS services; Telegram operations,No KYC; No logs; Underground forum presence; High malicious traffic ratio,,2026-09-25,~17-18% (RF chart #2),RF-TAE-2026; SPAMHAUS-BPH; BLEEPINGCOMPUTER-BPH; REGISTRY-SNAPSHOT-2026-09; POLITIE-CRAZYRDP-2025,"Major no-KYC RDP/VPS host (RF 2025 Threat Density #2). On 2025-11-12 Dutch police seized about 250 physical servers in data centres in The Hague and Zoetermeer (thousands of virtual servers taken offline) of a bulletproof hoster active since 2022 and seen in 80+ investigations (ransomware, botnets, phishing, CSAM). Police did not name it; sources told BleepingComputer it was CrazyRDP, which went offline. Dutch police told BleepingComputer the case is NOT connected to Operation Endgame (the earlier Endgame label was wrong). The Limenet (AS394711) and Delis (AS211252) ASNs rest on community sources and Spamhaus ASN-DROP listings of Feb 2024 (limenet.io; delis.one); both ASNs have since been re-issued to unrelated companies - do not block them.",
Kaopu Cloud HK Limited,flagged,T2-High Risk,AS138915,AS58854 (Kaopu Cloud [CN]); AS154177 (LIGHT NODE LIMITED [HK]; Spamhaus-attributed via kaopuyun.com),,Hong Kong,Hong Kong/Global,Kaopu Cloud HK Limited,Keepo Cloud HK,,Cogent; Arelion; NTT; Level3; PCCW Global,,,,"RedHotel (C2, 2022-23); ToolShell/SharePoint exploitation (2025); FortiGate SSO abuse (Dec 2025); Bulbature/GobRAT operators",RedHotel tooling; GobRAT; Cobalt Strike,Large IP allocation; BitTorrent/Tor/VPN activity observed,Spamhaus ASN-DROP (AS138915; AS58854; AS154177 under kaopuyun.com); C2 for 3+ families/actors; GreyNoise React2Shell exploitation source,2019-03-19,2026-09-25,~8-10% (RF chart #4),RF-TAE-2026; SPAMHAUS-ASNDROP-2026; RF-REDHOTEL-2023; ESET-TOOLSHELL-2025; SEKOIA-BULBATURE; GREYNOISE-REACT2SHELL-2026; REGISTRY-SNAPSHOT-2026-09,"Hong Kong ISP (APNIC-registered 2019) announcing 113,664 IPv4 addresses in 168 prefixes on AS138915 (Sept 2026; the earlier '182,272 / 50+ netblocks' is outdated). RF ranks Kaopu #4 in its 2025 Threat Density top 10. Spamhaus ASN-DROP lists three kaopuyun.com ASNs: AS138915, AS58854 and AS154177 (LIGHT NODE LIMITED, 129 IPv4 prefixes); a fourth (AS140666, ANY DIGITAL PTE. LTD.) was listed earlier and removed. Independent vendor evidence: RF Insikt (RedHotel heavily favouring Kaopu for C2, 2022-23); ESET (ToolShell SharePoint exploitation from Kaopu IPs, July 2025); Arctic Wolf (malicious FortiGate SSO logins, Dec 2025); Sekoia (Bulbature/GobRAT staging servers all on AS138915); GreyNoise React2Shell sources. Tier raised T3 -> T2 (status flagged) on 2026-09-25 per the ASN-DROP escalation rule; T1 candidate on the RF top-10 ranking.",
Grinex,sanctioned,T1-Confirmed BPH (Financial Enabler),,,,Russia / Kyrgyz Republic,Russia,Grinex,"Garantex successor; TokenSpot (likely front, per TRM)",Garantex (predecessor),,,"OFAC Aug 14 2025 (as Garantex's direct successor); UK Aug 20 2025 (Grinex LLC, Russia regime); EU 19th package Oct 23 2025 (A7A5-ecosystem trading platform)",Aleksandr Mira Serda (Garantex co-founder; State Dept reward up to $5M),,,Sanctions-evasion vehicle; On-chain asset migration from Garantex,Sanctioned personnel; Shared on-chain infrastructure with Garantex,2024-12,2026-09-25,,OFAC-GARANTEX; CHAINALYSIS-A7A5; CHAINALYSIS-OFAC; TRM-A7A5-2026; ELLIPTIC-GRINEX,"Kyrgyzstan-incorporated successor to Garantex: registered December 2024 (TRM) and promoted on Telegram days after the March 2025 Garantex takedown; forensically tied to Garantex by shared on-chain infrastructure and asset migration (user funds plus A7A5 minted via Old Vector). OFAC designated it on 2025-08-14 as Garantex's 'direct successor'. On 2026-04-15 about 12:00 UTC roughly $13-15M was drained (Grinex claimed >1bn rubles and blamed foreign 'special services'; Elliptic measured ~$15M USDT); Grinex then suspended operations, and Chainalysis raised the possibility of a false-flag exit. TokenSpot, a Kyrgyz exchange TRM considers a likely Grinex front, was hit the same day; Rapira had >$72M in direct transactions with Grinex (Elliptic). Exved is a separately designated company, not an alias. Unverified: '>=$4.76B processed in 2025'. Designation stands; operationally offline.",Russian no-KYC cryptocurrency exchange; primary Garantex successor laundering rail for the BPH/ransomware ecosystem.
A7A5 / Old Vector,sanctioned,T1-Confirmed BPH (Financial Enabler),,,,Russia / Kyrgyz Republic,Russia / Kyrgyzstan,Old Vector LLC (issuer),A7A5 stablecoin; Instant Swapper,"A7 network (A7 LLC, A71 LLC, A7 Agent LLC - owned by Ilan Shor and Promsvyazbank); Garantex/Grinex ecosystem",,,"UK May 2025 (A7) and Aug 20 2025 (Old Vector LLC); EU July 2025 (A7) and 19th package Oct 23 2025 (full A7A5 transaction ban from Nov 25 2025); OFAC Aug 14 2025 (Old Vector LLC, A7 LLC, A71 LLC, A7 Agent LLC)",,,,Ruble-backed stablecoin laundering; No-KYC stablecoin swapping,Sanctioned; Ruble-pegged sanctions-evasion stablecoin,2025-01,2026-09-25,,OFAC-GARANTEX; CHAINALYSIS-A7A5; TRM-A7A5-2026,"Russian ruble-backed stablecoin issued by Kyrgyzstan's Old Vector; A7 LLC is the token's creator. Chainalysis (2026 Crypto Crime Report): $93.3B moved 'in less than a year'; Elliptic: more than $100B in under a year (the $93.1B and $72B figures elsewhere are earlier snapshots). Garantex moved funds into A7A5 from as early as January 2025 (TRM). The no-KYC Instant Swapper reportedly converted >$2.2B of A7A5 into mainstream USD stablecoins (unverified). The EU banned A7A5 transactions from 2025-11-25. Its economy ran through Grinex, so on-chain volume reportedly collapsed after Grinex suspended in April 2026 (the '~96%' figure is unverified). A7 LLC, A71 LLC and A7 Agent LLC are separately designated related entities, not aliases.",Sanctions-evasion stablecoin and swap rail bridging sanctioned Russian crypto into mainstream stablecoins.
Nobitex,sanctioned,T2-High Risk (Financial Enabler),,,,Iran,Iran,Nobitex,,,,,"OFAC June 2 2026 (sb0519, 'Economic Fury'): E.O. 13224 (material support to the IRGC) and E.O. 13902; four executives designated under E.O. 13224",Amir Hossein Rad (chairman/co-founder); Seyed Ali Khoee (CEO); two Kharrazi-family co-founders (name renderings vary across sources),,,Terror-finance facilitation; Sanctions evasion,Sanctioned; Iran's largest crypto exchange,,2026-09-25,,OFAC-IRAN-FURY; CHAINALYSIS-OFAC,"Iran's largest digital-asset exchange. OFAC-designated 2026-06-02 under 'Economic Fury' - uniquely also under counterterrorism E.O. 13224 - together with four executives. The four designated Iranian exchanges handled about $7.7B, roughly 78% of Iran's attributed 2025 crypto volume. Follow-on actions: OFAC added Central Bank of Iran wallets (2026-07-16) and designated the exchanges Shelbit and Aban Tether (2026-08-07), the latter for transactions with Nobitex, Wallex, Bitpin and Ramzinex.",Iranian cryptocurrency exchange sanctioned for terror finance and sanctions evasion.
Wallex,sanctioned,T3-Suspected (Financial Enabler),,,,Iran,Iran,Wallex,,,,,OFAC June 2 2026 (E.O. 13902),,,,Iranian crypto on-ramp; Sanctions evasion,Sanctioned under 'Economic Fury',,2026-06-29,,OFAC-IRAN-FURY,"Iranian crypto exchange designated June 2 2026 under 'Economic Fury' (E.O. 13902, Iran financial sector).",Iranian cryptocurrency exchange sanctioned June 2026.
Bitpin,sanctioned,T3-Suspected (Financial Enabler),,,,Iran,Iran,Bitpin,,,,,OFAC June 2 2026 (E.O. 13902),,,,Iranian crypto on-ramp; Sanctions evasion,Sanctioned under 'Economic Fury',,2026-06-29,,OFAC-IRAN-FURY,"Iranian crypto exchange designated June 2 2026 under 'Economic Fury' (E.O. 13902, Iran financial sector).",Iranian cryptocurrency exchange sanctioned June 2026.
Ramzinex,sanctioned,T3-Suspected (Financial Enabler),,,,Iran,Iran,Ramzinex,,,,,OFAC June 2 2026 (E.O. 13902),,,,Iranian crypto on-ramp; Sanctions evasion,Sanctioned under 'Economic Fury',,2026-06-29,,OFAC-IRAN-FURY,"Iranian crypto exchange designated June 2 2026 under 'Economic Fury' (E.O. 13902, Iran financial sector).",Iranian cryptocurrency exchange sanctioned June 2026.
BtHoster,active,T1-Confirmed BPH,AS213790,"AS213388 (IIC RAIL LIMITED [GB]; downstream); AS214295 (dark); AS215476 (dead); AS198465 (predecessor, recycled to CN)",45.142.193.0/24; 77.90.185.0/24; 172.94.9.0/24; 192.253.248.0/24; 206.123.156.0/24; 185.93.89.0/24; 45.129.14.0/24,United Kingdom (shells),Lithuania / Bulgaria (transit),Limited Network LTD; Skynet Network Ltd; Inside Network LTD; BtHoster LTD (predecessor),BtHoster; BTCloud; btcloud.ro,,"UAB Host Baltic (AS209605); Tube-Hosting (AS49581, aurologic)",,,"Nominee dirs: Murray Charles / Jonathan Reynolds / Brooks William Thomas; provisioned via Khatibi (UAE, wcd maintainer) + Mashayekhi (Iran LIR)",Initial Access Brokers,Mirai; RisePro; Cobalt Strike; Remcos; Moobot; HookBot,AS-leasing; Shell rebranding (BtHoster LTD->Skynet/Inside->Limited Network); Prefix transfer w/ inetnum retained across ASN rotation; masscan-server provisioning; Iranian-prefix false-flag,"On Spamhaus ASN-DROP (AS213790 under btcloud.ro; AS213388 under iic-rail); upstreams AS209605, AS49581 and AS204428 are themselves on ASN-DROP; self-advertised bulletproof (@bthosterltd); masscan ~1300 kpps; shell/nominee structure; shared wcd RIPE maintainer",2023,2026-09-25,,INTRINSEC-BTHOSTER; SECURITYONLINE-BTHOSTER; RIPE-AAWG-BTHOSTER; SPAMHAUS-ASNDROP-2026; REGISTRY-SNAPSHOT-2026-09,"Confirmed multi-vector (2026-06): BtHoster = 'BTCloud' operator running recycled UK '[Word] Network LTD' shells -- BtHoster LTD (AS198465, dead 2024-03) -> Skynet Network Ltd (AS214295) + Inside Network LTD (AS215476) (struck off 2025) -> Limited Network LTD (AS213790, ACTIVE) + downstream AS213388. Live identity tied by: the 45.142.193.0/24 inetnum is owned by Limited Network LTD (migrated Skynet->AS213388 on 2026-06-23, owner unchanged); abuse@btcloud.ro brand on its ARIN blocks; direct AS213790<->AS214295 peering; shared 'wcd' RIPE maintainer (Khatibi/UAE). Sells pre-configured masscan servers (~1300 kpps) to Initial Access Brokers; transfers prefixes between shells to erase reputation; reuses Iranian-origin prefixes to fake Iran attribution. Spamhaus ASN-DROP lists AS213790 with domain btcloud.ro (a direct BTCloud tie) and, since 2026, AS213388 (registry holder 'IIC RAIL LIMITED'); the old shells AS214295/AS215476 were delisted after Dec 2025. A sibling-looking AS214018 'IIC-AS' (INTERNET INTELLIGENCE COMPANY LTD) is also on ASN-DROP (lead only). Transit via UAB Host Baltic (AS209605) + Tube-Hosting (AS49581) with a Bulgarian backstop (SS-NET AS204428 / 4Vendeta) - all three transit ASNs are themselves on ASN-DROP. Securonix DanaBot IOC 45.129.14.157 resolved to 157.hosted-by.bthoster.com. Full attribution dossier in internal investigation.",Confirmed bulletproof / AS-leasing operator ('BTCloud') running rotating UK nominee shells; live as Limited Network LTD (AS213790)/AS213388; masscan-as-a-service to IABs.
Pfcloud UG,flagged,T2-High Risk,AS51396,AS215310 (USERCLOUD; Pfcloud UG); AS400328 (Intelligence Hosting LLC [NL/ARIN]; Spamhaus-attributed via pfcloud.io),,Germany,Germany,Pfcloud UG (haftungsbeschraenkt),,,,aurologic-linked ecosystem,,,,Hikvision CVE-2021-36260 exploitation source; AsyncRAT C2 (2025); FortiGate 60F exploit-kit staging (2026),Bulletproof-adjacent; Sustained scanning/proxy abuse,Spamhaus ASN-DROP (AS51396 since at least Feb 2024; AS215310 and AS400328 under pfcloud.io); GreyNoise exploitation sources; aurologic-ecosystem adjacency (Railnet transit),2024-02,2026-09-25,,RUDIS-BPH-WATCH; RF-AUROLOGIC; SPAMHAUS-ASNDROP-2026; GREYNOISE-WEEKLY-2026-08; GREYNOISE-REACT2SHELL-2026; REGISTRY-SNAPSHOT-2026-09,"German micro-provider (AS51396: 26 IPv4 and 24 IPv6 prefixes). Spamhaus ASN-DROP has listed AS51396 since at least Feb 2024 (with a since-recycled AS202685 'as-pfcloud'); it now also lists AS215310 (USERCLOUD) and AS400328 (Intelligence Hosting LLC) under pfcloud.io. RF lists Pfcloud as an upstream of the Virtualine/Railnet 'hosting island' alongside aurologic. GreyNoise (Aug 2026): 204.76.203.43 on AS51396 generated 393,777 sessions and most of the period's 121,068 Hikvision CVE-2021-36260 exploitation attempts; Pfcloud IPs also appear among React2Shell sources. A community note (Sept 2026, D-grade) describes a Pfcloud open directory staging FortiGate 60F exploit modules on an IP previously listed as AsyncRAT C2. Tier raised T3 -> T2 (status flagged) on 2026-09-25 per the ASN-DROP escalation rule; the earlier single-honeypot caveat is outdated.","German micro-provider, bulletproof-adjacent; corroborated abuse signal with single-honeypot caveat."
